cz,NAICS4,year,emp
11203,3251,2011,10
11203,3262,2011,10
11203,3273,2011,40
11203,3311,2011,10
11203,3323,2011,10
11203,3327,2011,20
11203,3329,2011,20
11203,3331,2011,10
11203,3353,2011,10
11203,3371,2011,10
11203,3391,2011,80
11203,3399,2011,20
11301,3118,2011,100
11301,3119,2011,175
11301,3121,2011,20
11301,3133,2011,10
11301,3141,2011,20
11301,3149,2011,10
11301,3151,2011,10
11301,3152,2011,20
11301,3169,2011,20
11301,3211,2011,156
11301,3212,2011,120
11301,3219,2011,160
11301,3222,2011,20
11301,3231,2011,645
11301,3241,2011,195
11301,3253,2011,60
11301,3255,2011,60
11301,3259,2011,10
11301,3261,2011,365
11301,3262,2011,10
11301,3271,2011,20
11301,3273,2011,228
11301,3274,2011,10
11301,3279,2011,130
11301,3312,2011,10
11301,3315,2011,10
11301,3323,2011,160
11301,3325,2011,10
11301,3327,2011,10
11301,3328,2011,10
11301,3329,2011,10
11301,3333,2011,70
11301,3334,2011,10
11301,3335,2011,70
11301,3339,2011,10
11301,3341,2011,10
11301,3342,2011,20
11301,3344,2011,130
11301,3345,2011,20
11301,3346,2011,10
11301,3363,2011,20
11301,3371,2011,50
11301,3372,2011,70
11301,3379,2011,60
11301,3391,2011,70
11301,3399,2011,160
11302,3111,2011,200
11302,3112,2011,275
11302,3113,2011,760
11302,3114,2011,80
11302,3115,2011,1205
11302,3116,2011,515
11302,3117,2011,60
11302,3118,2011,2427
11302,3119,2011,3267
11302,3121,2011,1096
11302,3122,2011,10
11302,3131,2011,10
11302,3132,2011,170
11302,3133,2011,40
11302,3141,2011,110
11302,3149,2011,264
11302,3151,2011,10
11302,3152,2011,635
11302,3159,2011,20
11302,3162,2011,175
11302,3169,2011,60
11302,3211,2011,20
11302,3212,2011,179
11302,3219,2011,664
11302,3221,2011,120
11302,3222,2011,1760
11302,3231,2011,4118
11302,3241,2011,270
11302,3251,2011,1150
11302,3252,2011,80
11302,3253,2011,80
11302,3254,2011,1690
11302,3255,2011,839
11302,3256,2011,1100
11302,3259,2011,461
11302,3261,2011,2969
11302,3262,2011,385
11302,3271,2011,351
11302,3272,2011,200
11302,3273,2011,950
11302,3274,2011,346
11302,3279,2011,360
11302,3311,2011,1760
11302,3312,2011,20
11302,3313,2011,30
11302,3314,2011,140
11302,3315,2011,150
11302,3321,2011,705
11302,3322,2011,40
11302,3323,2011,1439
11302,3324,2011,550
11302,3325,2011,10
11302,3326,2011,325
11302,3327,2011,1856
11302,3328,2011,477
11302,3329,2011,140
11302,3331,2011,215
11302,3332,2011,465
11302,3333,2011,265
11302,3334,2011,910
11302,3335,2011,200
11302,3336,2011,205
11302,3339,2011,1910
11302,3341,2011,335
11302,3342,2011,652
11302,3343,2011,30
11302,3344,2011,559
11302,3345,2011,10703
11302,3346,2011,30
11302,3351,2011,140
11302,3353,2011,485
11302,3359,2011,480
11302,3361,2011,60
11302,3362,2011,210
11302,3363,2011,640
11302,3364,2011,1750
11302,3365,2011,235
11302,3366,2011,279
11302,3369,2011,70
11302,3371,2011,628
11302,3372,2011,954
11302,3379,2011,505
11302,3391,2011,676
11302,3399,2011,1595
11303,3114,2011,10
11303,3116,2011,185
11303,3117,2011,269
11303,3121,2011,30
11303,3141,2011,10
11303,3149,2011,10
11303,3211,2011,670
11303,3212,2011,20
11303,3219,2011,80
11303,3231,2011,40
11303,3273,2011,90
11303,3323,2011,10
11303,3327,2011,33
11303,3328,2011,10
11303,3344,2011,60
11303,3362,2011,235
11303,3363,2011,175
11303,3366,2011,20
11303,3371,2011,50
11303,3372,2011,20
11303,3399,2011,40
11304,3111,2011,90
11304,3112,2011,10
11304,3113,2011,70
11304,3114,2011,265
11304,3115,2011,750
11304,3116,2011,488
11304,3118,2011,2838
11304,3119,2011,345
11304,3121,2011,618
11304,3132,2011,20
11304,3133,2011,50
11304,3141,2011,290
11304,3149,2011,405
11304,3151,2011,20
11304,3152,2011,231
11304,3159,2011,50
11304,3162,2011,20
11304,3169,2011,20
11304,3211,2011,240
11304,3212,2011,200
11304,3219,2011,805
11304,3222,2011,180
11304,3231,2011,8719
11304,3241,2011,315
11304,3251,2011,100
11304,3253,2011,30
11304,3254,2011,2658
11304,3255,2011,535
11304,3256,2011,60
11304,3259,2011,380
11304,3261,2011,712
11304,3262,2011,130
11304,3271,2011,130
11304,3272,2011,180
11304,3273,2011,1891
11304,3274,2011,10
11304,3279,2011,644
11304,3311,2011,60
11304,3313,2011,30
11304,3314,2011,20
11304,3315,2011,10
11304,3321,2011,100
11304,3322,2011,70
11304,3323,2011,1943
11304,3324,2011,90
11304,3325,2011,20
11304,3326,2011,20
11304,3327,2011,589
11304,3328,2011,270
11304,3329,2011,555
11304,3331,2011,80
11304,3332,2011,385
11304,3333,2011,679
11304,3334,2011,590
11304,3335,2011,235
11304,3336,2011,30
11304,3339,2011,300
11304,3341,2011,590
11304,3342,2011,4504
11304,3343,2011,110
11304,3344,2011,3406
