CZ;naics;emp
10700;7223;26
10700;7225;3069
10700;8111;328
10700;8113;92
10700;8114;3
10700;8121;65
10700;8122;50
10700;8123;33
10700;8129;18
10700;8131;703
10700;8133;13
10700;8134;13
10700;8139;11
10302;1133;72
10302;2211;79
10302;2361;11
10302;2373;355
10302;2381;33
10302;2382;138
10302;2383;27
10302;2389;21
10302;4231;31
10302;4239;58
10302;4411;148
10302;4413;73
10302;4421;34
10302;4431;14
10302;4441;42
10302;4442;38
10302;4451;133
10302;4453;7
10302;4461;82
10302;4471;245
10302;4481;27
10302;4523;382
10302;4539;29
10302;4841;78
10302;4842;46
10302;4881;2893
10302;5173;22
10302;5221;280
10302;5222;40
10302;5223;4
10302;5241;27
10302;5242;24
10302;5311;37
10302;5312;13
10302;5313;68
10302;5321;25
10302;5322;18
10302;5411;36
10302;5412;39
10302;5413;154
10302;5415;366
10302;5416;81
10302;5419;41
10302;5511;308
10302;5617;80
10302;6115;75
10302;6116;16
10302;6211;39
10302;6212;81
10302;6213;38
10302;6241;89
10302;6244;45
10302;7139;15
10302;7211;135
10302;7224;8
10302;7225;911
10302;8111;33
10302;8114;3
10302;8121;28
10302;8122;34
10302;8123;33
10302;8131;374
10302;8134;36
10302;8139;75
10801;1133;10
10801;1153;15
10801;2361;24
10801;2362;44
10801;2381;300
10801;2382;117
10801;2389;20
10801;4239;52
10801;4244;47
10801;4249;50
10801;4411;85
10801;4412;14
10801;4413;79
10801;4421;21
10801;4422;8
10801;4431;34
10801;4441;77
10801;4442;21
10801;4451;135
10801;4461;154
10801;4471;109
10801;4481;25
10801;4482;34
10801;4523;447
10801;4533;14
10801;4543;16
10801;4841;52
10801;4842;24
10801;5173;48
10801;5221;117
10801;5222;48
10801;5223;12
10801;5241;45
10801;5242;46
10801;5311;16
10801;5313;17
10801;5321;8
10801;5322;21
10801;5411;67
10801;5412;266
10801;5413;13
10801;5418;9
10801;5419;28
10801;5613;227
10801;5617;31
10801;6111;86
10801;6211;210
10801;6212;58
10801;6213;41
10801;6214;65
10801;6216;112
10801;6231;373
10801;6241;52
10801;6242;24
10801;6244;52
10801;7121;14
10801;7139;38
10801;7211;70
10801;7225;701
10801;8111;54
10801;8113;18
10801;8122;30
10801;8123;243
10801;8131;300
10801;8134;9
10801;8139;24
6100;2361;48
6100;2362;124
6100;2381;52
6100;2382;310
6100;2383;34
6100;2389;28
6100;4231;19
6100;4238;168
6100;4239;274
6100;4242;60
6100;4244;9
6100;4245;58
6100;4249;36
6100;4251;9
6100;4411;135
6100;4413;140
6100;4421;41
6100;4422;11
6100;4431;11
6100;4441;348
6100;4442;30
6100;4451;372
6100;4453;11
6100;4461;223
6100;4471;218
6100;4481;78
6100;4482;23
6100;4523;452
6100;4532;19
6100;4539;17
6100;4541;74
6100;4543;35
6100;4841;358
6100;4842;30
6100;4884;13
6100;5111;27
6100;5173;172
6100;5221;271
6100;5222;46
6100;5223;7
6100;5239;9
6100;5241;23
6100;5242;60
6100;5311;23
6100;5312;7
6100;5313;121
6100;5322;22
6100;5324;16
6100;5411;164
6100;5412;96
6100;5413;57
6100;5414;12
6100;5415;7
6100;5416;15
6100;5419;41
6100;5611;23
6100;5613;675
6100;5616;6
6100;5617;125
6100;5621;84
6100;6211;364
6100;6212;149
6100;6213;147
6100;6214;51
6100;6216;254
6100;6231;569
6100;6232;226
6100;6233;65
6100;6241;191
6100;6244;103
6100;7111;15
6100;7139;50
6100;7211;73
6100;7212;85
6100;7225;1727
6100;8111;78
6100;8114;9
6100;8122;28
6100;8131;257
6100;8133;8
6100;8134;10
6100;8139;15
11101;1133;21
11101;1153;31
11101;2211;86
11101;2213;21
11101;2361;67
11101;2362;70
11101;2371;5
11101;2372;8
11101;2379;49
11101;2381;74
11101;2382;376
11101;2383;68
11101;2389;52
11101;4233;78
11101;4234;42
11101;4238;50
11101;4239;58
11101;4249;17
11101;4251;8
11101;4411;108
11101;4412;42
11101;4413;162
11101;4421;38
11101;4422;40
11101;4431;32
11101;4441;392
11101;4442;32
11101;4451;245
11101;4453;10
11101;4461;209
11101;4471;320
11101;4481;39
11101;4511;178
11101;4523;871
11101;4533;12
11101;4539;15
11101;4541;2
11101;4543;34
11101;4841;24
11101;4842;64
11101;4884;18
11101;5173;59
11101;5221;260
11101;5222;46
11101;5223;4
11101;5239;3
11101;5241;26
11101;5242;46
11101;5311;61
11101;5312;20
11101;5313;19
11101;5322;16
11101;5411;81
11101;5412;57
11101;5413;38
11101;5415;84
11101;5416;15
11101;5418;27
11101;5419;94
11101;5611;5
11101;5617;102
11101;5629;60
11101;6111;328
11101;6211;108
11101;6212;98
11101;6213;100
11101;6219;91
11101;6231;318
11101;6232;339
11101;6241;152
11101;6244;149
11101;7115;3
11101;7139;76
11101;7211;1079
11101;7224;7
11101;7225;1842
11101;8111;163
11101;8112;8
11101;8113;11
11101;8121;38
11101;8122;22
11101;8123;19
11101;8131;519
11101;8133;64
11101;8134;66
11101;8139;9
11002;1133;133
11002;2211;66
11002;2361;28
11002;2362;64
11002;2371;33
11002;2381;26
11002;2382;82
11002;2383;17
11002;2389;73
11002;4238;32
11002;4239;7
11002;4245;10
11002;4249;46
11002;4411;136
11002;4413;98
11002;4421;44
11002;4431;18
11002;4441;147
11002;4442;51
11002;4451;163
11002;4461;141
11002;4471;236
11002;4481;67
11002;4482;19
11002;4523;522
11002;4531;9
11002;4533;30
11002;4539;30
11002;4543;9
11002;4841;319
11002;4842;53
11002;5111;16
11002;5173;60
11002;5221;174
11002;5222;57
11002;5223;11
11002;5239;20
11002;5241;11
11002;5242;54
11002;5311;18
11002;5312;17
11002;5313;14
11002;5322;19
11002;5411;39
11002;5412;60
11002;5415;20
11002;5416;35
11002;5419;39
11002;5511;51
11002;5611;5
11002;5617;110
11002;6211;78
11002;6212;51
11002;6213;43
11002;6214;22
11002;6216;104
11002;6233;34
11002;6244;49
11002;7211;932
11002;7225;1056
11002;8111;87
11002;8114;5
11002;8122;42
11002;8123;8
11002;8131;229
11002;8139;8
6100;1133;11
6100;2211;99
6100;2213;15
6100;2361;71
6100;2362;93
6100;2373;52
6100;2381;42
6100;2382;492
6100;2383;90
