CZ;naics;emp
37800;3327;387
37800;3328;67
37800;3329;308
37800;3332;35
37800;3333;211
37800;3334;29
37800;3335;14
37800;3339;247
37800;3341;13
37800;3342;256
37800;3344;74
37800;3345;2080
37800;3353;10
37800;3359;63
37800;3363;34
37800;3371;340
37800;3372;52
37800;3379;231
37800;3391;267
37800;3399;176
37400;3118;12
37400;3121;369
37400;3152;12
37400;3231;1535
37400;3273;34
37400;3321;2
37400;3323;18
37400;3327;218
37400;3332;9
37400;3333;47
37400;3335;19
37400;3339;130
37400;3344;150
37400;3363;65
37400;3364;83
37400;3371;21
37400;3391;85
37400;3399;121
37200;3111;109
37200;3112;190
37200;3114;2927
37200;3115;795
37200;3116;6158
37200;3118;1242
37200;3119;1404
37200;3121;1295
37200;3149;65
37200;3169;12
37200;3212;185
37200;3219;440
37200;3222;1047
37200;3231;577
37200;3241;79
37200;3251;67
37200;3253;289
37200;3255;212
37200;3261;871
37200;3262;35
37200;3272;364
37200;3273;197
37200;3279;25
37200;3315;27
37200;3322;31
37200;3323;567
37200;3324;114
37200;3327;291
37200;3328;141
37200;3329;327
37200;3331;668
37200;3332;196
37200;3333;20
37200;3334;107
37200;3335;58
37200;3339;1995
37200;3342;704
37200;3345;88
37200;3351;28
37200;3353;16
37200;3362;665
37200;3363;361
37200;3371;111
37200;3379;205
37200;3391;443
37200;3399;292
37300;3114;24
37300;3115;196
37300;3273;15
37300;3331;36
37300;3371;15
36700;3113;36
36700;3114;4
36700;3117;200
36700;3118;227
36700;3119;35
36700;3121;136
36700;3211;501
36700;3219;83
36700;3231;63
36700;3253;82
36700;3254;36
36700;3256;23
36700;3259;52
36700;3273;25
36700;3323;62
36700;3371;11
36700;3372;43
36700;3391;183
36700;3399;105
38100;3111;58
38100;3116;1643
38100;3118;60
38100;3121;29
38100;3152;22
38100;3231;42
38100;3262;9
38100;3273;60
38100;3327;9
38100;3329;124
38100;3331;42
38100;3399;16
37903;3121;139
37100;3114;654
37100;3115;1427
37100;3118;180
37100;3119;3065
37100;3121;289
37100;3149;30
37100;3219;317
37100;3222;29
37100;3231;167
37100;3241;546
37100;3253;181
37100;3255;455
37100;3256;74
37100;3259;38
37100;3261;476
37100;3262;51
37100;3273;674
37100;3274;5
37100;3279;237
37100;3323;781
37100;3324;43
37100;3327;283
37100;3328;178
37100;3329;341
37100;3331;165
37100;3335;6
37100;3339;186
37100;3345;39
37100;3353;27
37100;3362;121
37100;3363;55
37100;3364;1039
37100;3371;108
37100;3372;62
37100;3391;248
37100;3399;70
37200;3111;96
37200;3115;1558
37200;3116;845
37200;3119;514
37200;3231;19
37200;3273;174
37200;3371;56
37200;3399;12
37700;3121;118
37700;3371;13
38300;3111;380
38300;3112;348
38300;3113;2230
38300;3114;4261
38300;3115;3436
38300;3116;5865
38300;3117;754
38300;3118;14321
38300;3119;10981
38300;3121;6875
38300;3122;11
