cz,NAICS4,year,emp
14200,3259,2019,930
14200,3261,2019,1634
14200,3262,2019,91
14200,3272,2019,82
14200,3273,2019,938
14200,3279,2019,74
14200,3321,2019,314
14200,3322,2019,122
14200,3323,2019,2377
14200,3324,2019,165
14200,3327,2019,1357
14200,3328,2019,1533
14200,3329,2019,1311
14200,3331,2019,37
14200,3332,2019,221
14200,3333,2019,103
14200,3334,2019,860
14200,3335,2019,298
14200,3336,2019,1063
14200,3339,2019,79
14200,3344,2019,209
14200,3345,2019,551
14200,3351,2019,12
14200,3361,2019,39
14200,3363,2019,3289
14200,3369,2019,24
14200,3371,2019,209
14200,3372,2019,320
14200,3391,2019,1242
14200,3399,2019,614
14300,3211,2019,24
14300,3219,2019,22
14300,3231,2019,178
14300,3261,2019,681
14300,3323,2019,76
14300,3327,2019,569
14300,3335,2019,448
14300,3336,2019,2084
14300,3363,2019,2998
14400,3231,2019,208
14400,3252,2019,369
14400,3261,2019,1153
14400,3273,2019,39
14400,3327,2019,531
14400,3329,2019,136
14400,3391,2019,86
14400,3399,2019,13
14500,3118,2019,53
14500,3121,2019,32
14500,3219,2019,55
14500,3231,2019,153
14500,3261,2019,915
14500,3273,2019,78
14500,3323,2019,55
14500,3324,2019,67
14500,3327,2019,598
14500,3345,2019,152
14500,3362,2019,3245
14500,3364,2019,252
14500,3391,2019,16
14500,3399,2019,13
14600,3121,2019,100
14600,3211,2019,67
14600,3219,2019,164
14600,3231,2019,58
14600,3254,2019,1620
14600,3273,2019,45
14600,3279,2019,486
14600,3323,2019,57
14600,3327,2019,146
14600,3371,2019,351
14600,3372,2019,980
14600,3391,2019,4068
14600,3399,2019,37
14700,3113,2019,64
14700,3149,2019,36
14700,3211,2019,79
14700,3212,2019,303
14700,3219,2019,227
14700,3222,2019,16
14700,3231,2019,164
14700,3252,2019,252
14700,3255,2019,526
14700,3259,2019,885
14700,3261,2019,3919
14700,3273,2019,72
14700,3321,2019,435
14700,3323,2019,121
14700,3327,2019,324
14700,3328,2019,61
14700,3329,2019,145
14700,3332,2019,100
14700,3335,2019,198
14700,3353,2019,465
14700,3363,2019,3209
14700,3371,2019,2942
14700,3372,2019,1926
14700,3391,2019,74
14700,3399,2019,153
14801,3211,2019,13
14801,3261,2019,24
14801,3327,2019,63
14900,3116,2019,33
14900,3118,2019,173
14900,3121,2019,242
14900,3149,2019,51
14900,3219,2019,51
14900,3231,2019,331
14900,3241,2019,152
14900,3251,2019,445
14900,3261,2019,65
14900,3271,2019,327
14900,3273,2019,147
14900,3279,2019,29
14900,3311,2019,14125
14900,3323,2019,972
14900,3327,2019,895
14900,3328,2019,497
14900,3329,2019,85
14900,3335,2019,17
14900,3339,2019,192
14900,3353,2019,19
14900,3371,2019,252
14900,3391,2019,155
14900,3399,2019,174
1500,3118,2019,78
1500,3121,2019,199
1500,3141,2019,9
1500,3211,2019,19
1500,3219,2019,7
1500,3231,2019,136
1500,3251,2019,772
1500,3261,2019,93
1500,3273,2019,120
1500,3323,2019,125
1500,3327,2019,167
1500,3328,2019,22
1500,3332,2019,170
1500,3364,2019,731
1500,3371,2019,48
1500,3391,2019,32
1500,3399,2019,60
15000,3111,2019,258
15000,3113,2019,86
15000,3115,2019,979
15000,3116,2019,1764
15000,3118,2019,660
15000,3119,2019,1494
15000,3121,2019,146
15000,3149,2019,50
15000,3169,2019,323
15000,3211,2019,431
15000,3219,2019,2578
15000,3222,2019,162
15000,3231,2019,685
15000,3241,2019,17
15000,3251,2019,471
15000,3255,2019,465
15000,3261,2019,2052
15000,3262,2019,398
15000,3271,2019,876
15000,3273,2019,184
15000,3279,2019,143
15000,3311,2019,4134
15000,3312,2019,754
15000,3321,2019,43
15000,3322,2019,534
15000,3323,2019,1810
15000,3327,2019,1566
15000,3328,2019,482
15000,3329,2019,641
15000,3332,2019,327
15000,3335,2019,463
15000,3339,2019,286
15000,3353,2019,159
15000,3362,2019,756
15000,3363,2019,35
15000,3371,2019,1412
15000,3372,2019,269
15000,3391,2019,10
15000,3399,2019,369
15100,3121,2019,70
15100,3169,2019,19
15100,3231,2019,211
15100,3255,2019,427
15100,3259,2019,119
15100,3261,2019,1189
15100,3262,2019,290
15100,3273,2019,157
15100,3321,2019,104
15100,3322,2019,1075
15100,3323,2019,242
15100,3327,2019,1935
15100,3328,2019,271
15100,3329,2019,567
15100,3332,2019,8
15100,3335,2019,187
15100,3339,2019,79
