CZ;naics;emp
10801;3149;10
10801;3211;389
10801;3219;175
10801;3222;60
10801;3231;70
10801;3241;769
10801;3251;60
10801;3252;175
10801;3253;60
10801;3259;10
10801;3261;1750
10801;3262;1750
10801;3272;175
10801;3273;250
10801;3279;10
10801;3311;375
10801;3312;175
10801;3322;10
10801;3323;162
10801;3324;175
10801;3327;170
10801;3329;60
10801;3332;10
10801;3335;10
10801;3344;10
10801;3345;60
10801;3346;375
10801;3353;10
10801;3359;10
10801;3361;3750
10801;3363;1327
10801;3371;60
10801;3372;60
10801;3391;18
10801;3399;76
10600;3111;10
10600;3116;750
10600;3118;10
10600;3211;175
10600;3219;60
10600;3231;6
10600;3253;60
10600;3259;60
10600;3261;60
10600;3262;10
10600;3273;60
10600;3323;60
10600;3327;234
10600;3329;60
10600;3331;60
10600;3339;60
10600;3353;60
10600;3359;10
10600;3362;60
10600;3371;175
10600;3379;60
10600;3391;10
10600;3399;60
11001;3211;60
11001;3251;1750
11001;3255;175
11001;3259;175
11001;3273;10
11001;3312;375
11001;3371;10
11001;3116;10
11001;3211;60
11001;3212;60
11001;3219;60
11001;3221;375
11001;3259;10
11001;3322;10
11001;3331;60
10600;3141;60
10600;3149;60
10600;3211;175
10600;3212;52
10600;3219;1251
10600;3261;60
10600;3273;10
10600;3323;120
10600;3324;60
10600;3326;10
10600;3327;10
10600;3359;10
10600;3362;193
10600;3371;583
10600;3379;175
34101;3117;1750
34114;3117;3203
34114;3323;10
34114;3327;10
34114;3366;60
34102;3111;10
34102;3115;10
34102;3116;60
34102;3117;60
34102;3118;197
34102;3119;34
34102;3121;60
34102;3149;10
34102;3161;10
34102;3211;10
34102;3212;60
34102;3219;1750
34102;3222;10
34102;3231;221
34102;3241;28
34102;3253;60
34102;3256;10
34102;3259;10
34102;3261;175
34102;3262;10
34102;3272;10
34102;3273;48
34102;3279;10
34102;3312;10
34102;3313;10
34102;3322;10
34102;3323;95
34102;3324;60
34102;3327;83
34102;3328;10
34102;3329;10
34102;3331;60
34102;3334;10
34102;3336;10
34102;3342;10
34102;3345;10
34102;3353;10
34102;3362;10
34102;3364;28
34102;3366;10
34102;3371;60
34102;3372;60
34102;3379;10
34102;3391;60
34102;3399;60
34112;3116;60
34112;3117;10
34104;3117;375
34107;3117;175
34115;3113;10
34115;3118;10
34115;3119;10
34115;3121;60
34115;3149;31
34115;3152;10
34115;3169;10
34115;3212;10
34115;3219;10
34115;3231;44
34115;3241;175
34115;3261;60
34115;3273;21
34115;3279;10
34115;3311;10
34115;3323;60
34115;3327;10
34115;3334;60
34115;3362;10
34115;3371;10
34115;3391;10
34115;3399;22
34109;3117;10
34109;3121;10
34109;3152;10
34109;3219;10
34109;3273;10
34109;3371;10
34109;3111;10
34109;3113;10
34109;3117;60
34109;3118;10
34109;3121;60
34109;3231;60
34109;3241;10
34109;3261;10
34109;3273;10
34109;3345;10
34109;3366;10
34109;3371;10
34109;3391;10
34109;3399;10
34102;3115;10
34102;3116;10
34102;3117;193
34102;3118;60
34102;3119;10
34102;3121;21
34102;3133;10
34102;3149;10
34102;3211;10
34102;3212;10
34102;3241;175
34102;3272;10
34102;3273;60
34102;3322;10
34102;3323;10
34102;3327;10
34102;3329;10
34102;3333;10
34102;3339;10
34102;3363;10
34102;3366;60
34102;3371;10
34102;3391;10
34102;3399;10
34111;3113;10
34111;3117;175
34111;3211;10
34111;3219;10
34111;3241;10
34111;3273;60
34111;3327;10
34111;3366;175
34111;3399;10
34108;3117;1725
34108;3121;10
34108;3211;10
34108;3231;10
34108;3272;10
34108;3366;10
34107;3117;17
34102;3115;60
34102;3118;10
34102;3119;10
34102;3121;60
34102;3152;10
34102;3219;10
34102;3231;10
34102;3241;10
34102;3261;10
34102;3262;10
34102;3273;10
34102;3323;10
34102;3328;10
34102;3329;10
34102;3362;10
34102;3364;10
34102;3371;10
34102;3372;10
34102;3391;10
34102;3399;10
34106;3117;60
34106;3161;10
34113;3231;10
34113;3241;10
34111;3117;60
34111;3211;36
34110;3113;10
34110;3117;269
34110;3121;10
34110;3149;10
34110;3256;10
34110;3366;60
34115;3211;10
34115;3219;10
34115;3273;10
34115;3323;10
34115;3399;10
34103;3117;175
34103;3152;10
34103;3211;10
34103;3241;60
34103;3323;10
34103;3366;10
34112;3366;10
34110;3117;172
34110;3149;10
34110;3327;10
34110;3366;10
34115;3222;10
35500;3149;10
35500;3211;60
35500;3212;10
35500;3219;10
35500;3241;10
35500;3273;10
35500;3391;10
35500;3399;10
35100;3111;10
35100;3116;10
35100;3118;10
35100;3119;10
35100;3149;10
35100;3169;10
35100;3212;10
35100;3219;60
35100;3231;10
35100;3241;10
35100;3253;175
35100;3273;81
35100;3274;60
35100;3323;60
35100;3324;10
35100;3327;18
35100;3332;10
35100;3344;10
35100;3371;10
35100;3391;10
35100;3399;10
35401;3111;175
35401;3113;10
35401;3116;10
35401;3118;175
35401;3119;10
35401;3121;175
35401;3133;10
35401;3149;10
35401;3212;10
35401;3219;46
35401;3221;60
35401;3222;175
35401;3231;45
35401;3241;10
35401;3261;71
35401;3262;10
35401;3273;60
35401;3279;10
35401;3323;87
