"cz","L_manuf_t0","L_manuf_t1","d_ln_L","IPW","period","sample"
"28702",1399,1160,-0.187337690565071,13.0788175250408,"1999-2011","manuf"
"28703",80,190,0.864997437486605,16.0562977803141,"1999-2011","manuf"
"28704",903,555,-0.486754439670551,26.7988554664284,"1999-2011","manuf"
"28800",27703,24920,-0.105870016658764,17.2172957589686,"1999-2011","manuf"
"28900",106027,73648,-0.364396791583451,29.7877469533371,"1999-2011","manuf"
"2900",9420,7597,-0.215081656067188,13.1561061537469,"1999-2011","manuf"
"29001",355,250,-0.35065687161317,7.39109413040925,"1999-2011","manuf"
"29002",80,70,-0.133531392624522,11.9607964168805,"1999-2011","manuf"
"29003",4575,8357,0.602492812291814,2.08292513979274,"1999-2011","manuf"
"29004",2533,1892,-0.291769900389852,16.1482995449434,"1999-2011","manuf"
"29005",6219,5086,-0.201117455121823,9.96506882332337,"1999-2011","manuf"
"29006",1740,1164,-0.402022763917192,11.4553440667428,"1999-2011","manuf"
"29007",325,210,-0.436717651612269,6.49411852119938,"1999-2011","manuf"
"29008",60,70,0.154150679827259,10.0881548041141,"1999-2011","manuf"
"29101",870,635,-0.314868212755938,7.05200820794458,"1999-2011","manuf"
"29102",555,525,-0.0555698511548108,15.5783690827109,"1999-2011","manuf"
"29103",595,535,-0.106294658649624,15.2774778641719,"1999-2011","manuf"
"29104",8200,7088,-0.145730940967427,15.4196667718938,"1999-2011","manuf"
